id,text,label,scam_type,language,communication_type,urgency,threat,impersonation,payment_request,credential_request,otp_request,remote_access_request,suspicious_link,reward_or_promise,fear,authority_claim,financial_pressure,sender_type,beneficiary_present,transaction_present,transaction_amount,link_present,action_requested,sensitive_information_requested,source_type,split,annotation_status,notes
G001,"Cyber crime department se call hai. Aapka Aadhaar illegal case mein hai. Verification ke liye ₹4,999 transfer karo.",SCAM,DIGITAL_ARREST,HINGLISH,SCENARIO,0,1,1,1,0,0,0,0,0,1,1,1,CUSTOMER_SUPPORT,1,1,2500,0,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,Police-style threat + immediate payment demand; no link.
G002,"Refund lene ke liye ₹50,000 ka UPI collect request approve karo, tabhi paisa milega.",SCAM,UPI_PAYMENT,HINGLISH,SCENARIO,1,0,1,1,0,0,0,0,0,0,0,1,CUSTOMER_SUPPORT,1,1,4999,0,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,Refund/collect-request manipulation.
G003,"For technical verification, install AnyDesk and share the access code. Do not disconnect until we complete the process.",SCAM,REMOTE_ACCESS,ENGLISH,SCENARIO,0,0,1,0,0,0,1,0,0,0,0,0,CUSTOMER_SUPPORT,0,0,0,0,INSTALL_REMOTE_APP,1,SYNTHETIC,SCENARIO,ANNOTATED,Remote-access request without payment.
G004,Payment reverse karne ke liye jo OTP aaya hai woh mujhe batao.,SCAM,OTP_CREDENTIAL_THEFT,HINGLISH,SCENARIO,0,0,1,1,0,1,0,0,0,0,0,0,CUSTOMER_SUPPORT,1,1,999,0,TRANSFER_MONEY,1,SYNTHETIC,SCENARIO,ANNOTATED,OTP request framed as transaction reversal.
G005,मैं मुसीबत में हूं। इस नए UPI पर ₹999 अभी भेजो और किसी को फोन मत करना।,SCAM,FAMILY_EMERGENCY,HINDI,SCENARIO,1,0,1,1,0,0,0,0,0,0,0,1,UNKNOWN,1,1,25000,0,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,Urgent new-beneficiary request with secrecy.
G006,KYC update pending. Your account services will stop within 2 hours. Complete verification at http://claim-example.test and enter your card details.,SCAM,KYC,ENGLISH,SCENARIO,1,0,1,0,1,0,0,1,0,0,1,0,BANK,0,0,0,1,OPEN_LINK,1,SYNTHETIC,SCENARIO,ANNOTATED,Account suspension threat + credential request.
G007,Your bank account will be blocked today. Verify your KYC immediately using the link below and share the OTP with our executive.,SCAM,BANK_IMPERSONATION,ENGLISH,SCENARIO,1,1,1,0,0,1,0,1,0,1,1,0,BANK,0,0,0,1,SHARE_OTP,1,SYNTHETIC,SCENARIO,ANNOTATED,Authority claim but no payment; asks for OTP.
G008,"Aapne ₹25,000 ka prize jeeta hai. Claim karne ke liye verification fee bhejo.",SCAM,PRIZE_REWARD,HINGLISH,SCENARIO,0,0,1,1,0,0,0,0,1,0,0,0,UNKNOWN,1,1,50000,0,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,Reward promise + fee request.
G009,"Guaranteed return milega. Aaj ₹2,500 invest karo, account activate karke profit dikha denge.",SCAM,INVESTMENT,HINGLISH,SCENARIO,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,1499,0,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,High-return promise + transfer.
G010,आपका पार्सल कस्टम्स में है। ₹999 तुरंत जमा करें वरना पार्सल रद्द होगा।,SCAM,COURIER_CUSTOMS,HINDI,SCENARIO,1,0,1,1,0,0,0,0,0,1,1,1,CUSTOMER_SUPPORT,1,1,1499,0,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,Threat + fee + urgency.
G011,"Main customer care se bol raha hoon. Payment fail hua hai, support app install karo aur screen share karo.",SCAM,CUSTOMER_SUPPORT,HINGLISH,SCENARIO,0,0,1,1,0,0,1,0,0,0,1,0,CUSTOMER_SUPPORT,1,1,999,0,TRANSFER_MONEY,1,SYNTHETIC,SCENARIO,ANNOTATED,Support impersonation + remote app.
G012,"आपका रिफंड स्वीकृत है। ₹10,000 का प्रोसेसिंग शुल्क पहले जमा करें।",SCAM,REFUND,HINDI,SCENARIO,0,0,1,1,0,0,0,0,1,0,0,0,CUSTOMER_SUPPORT,1,1,4999,0,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,Refund scam with processing fee.
G013,"Work from home job select ho gaya hai. Joining ke liye ₹4,999 security fee abhi bhejo.",SCAM,JOB,HINGLISH,SCENARIO,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,1499,0,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,Job scam with registration fee.
G014,संदिग्ध गतिविधि मिली है। खाता बंद होने से पहले इस लिंक पर लॉगिन जानकारी भरें।,SCAM,ACCOUNT_SUSPENSION,HINDI,SCENARIO,0,1,1,0,1,0,0,1,0,1,1,0,BANK,0,0,0,1,OPEN_LINK,1,SYNTHETIC,SCENARIO,ANNOTATED,Suspension threat + suspicious link.
G015,"This is an official cyber-crime notice. Your Aadhaar is linked to an illegal case. Stay on the call and transfer ₹10,000 for verification.",SCAM,DIGITAL_ARREST,ENGLISH,SCENARIO,0,1,1,1,0,0,0,1,0,1,1,1,CUSTOMER_SUPPORT,1,1,2500,1,TRANSFER_MONEY,0,SYNTHETIC,SCENARIO,ANNOTATED,Hinglish digital-arrest variant.
G016,Aaj raat 1 se 3 baje tak net banking maintenance rahega. Aapko koi action lene ki zarurat nahi hai.,LEGITIMATE,NONE,HINGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,BANK,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Bank maintenance notice; no action.
G017,साक्षात्कार कल सुबह 10 बजे निर्धारित है। कृपया आवश्यक दस्तावेज साथ लाएं।,LEGITIMATE,NONE,HINDI,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,EMPLOYER,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Legitimate transaction notification.
G018,Your monthly account statement is available in the official banking app. Please review it when convenient.,LEGITIMATE,NONE,ENGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,BANK,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Delivery notification.
G019,समय मिलने पर आज की कक्षा के नोट्स मुझे भेज देना।,LEGITIMATE,NONE,HINDI,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,FRIEND,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Interview reminder.
G020,Your order #25919 has been shipped. Track delivery from the retailer's official app.,LEGITIMATE,NONE,ENGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,MERCHANT,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Family message.
G021,Scheduled maintenance will affect net banking from 1:00 AM to 3:00 AM tonight. No action is required.,LEGITIMATE,NONE,ENGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,BANK,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Electricity bill reminder.
G022,Aapka order #99952 ship ho gaya hai. Delivery status official app mein check kar sakte ho.,LEGITIMATE,NONE,HINGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,MERCHANT,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Bank statement notice.
G023,आपका पार्सल आज डिलीवरी के लिए भेज दिया गया है।,LEGITIMATE,NONE,HINDI,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,DELIVERY,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Legitimate merchant shipping update.
G024,Your electricity bill of ₹999 is due on the 15th. You can pay through the official provider app.,LEGITIMATE,NONE,ENGLISH,SCENARIO,0,0,0,1,0,0,0,0,0,0,0,0,SERVICE,0,1,0,0,REVIEW_OR_NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Class notes request.
G025,I reached home safely. Dinner is ready whenever you arrive.,LEGITIMATE,NONE,ENGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,FAMILY,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Hindi maintenance notice.
G026,Aapka monthly statement official banking app mein available hai. Jab convenient ho tab check kar lena.,LEGITIMATE,NONE,HINGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,BANK,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Hinglish family message.
G027,Scheduled maintenance will affect net banking from 1:00 AM to 3:00 AM tonight. No action is required.,LEGITIMATE,NONE,ENGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,BANK,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Legitimate bill reminder.
G028,समय मिलने पर आज की कक्षा के नोट्स मुझे भेज देना।,LEGITIMATE,NONE,HINDI,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,FRIEND,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Legitimate delivery notice.
G029,Aapka order #32650 ship ho gaya hai. Delivery status official app mein check kar sakte ho.,LEGITIMATE,NONE,HINGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,MERCHANT,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Legitimate employer reminder.
G030,I reached home safely. Dinner is ready whenever you arrive.,LEGITIMATE,NONE,ENGLISH,SCENARIO,0,0,0,0,0,0,0,0,0,0,0,0,FAMILY,0,0,0,0,NO_ACTION,0,SYNTHETIC,SCENARIO,ANNOTATED,Legitimate banking message.
