text,language,is_scam,scam_type,urgency,authority_impersonation,financial_request,credential_request,threat,remote_access_request,suspicious_link,severity,source_type
"URGENT: Your SBI bank account is blocked today. Click http://sbi-verify.apk to share OTP immediately.",English,1,kyc_scam,1,1,0,1,1,0,1,1.0,SMS
"Dear customer your electricity bill is unpaid. Power will be disconnected tonight. Call +919876543210.",English,1,threat,1,1,1,0,1,0,0,0.9,SMS
"Aapka bank account aaj band ho jayega OTP share karo turant.",Hinglish,1,credential_request,1,1,0,1,1,0,0,0.95,WhatsApp
"Congratulations! You won Rs 25 Lakh in KBC lottery. Pay processing fee Rs 5000 to upi@bank to claim.",English,1,fake_lottery_reward,1,0,1,0,0,0,0,0.8,WhatsApp
"Install AnyDesk app immediately to resolve your SBI customer care complaint or account will be frozen.",English,1,remote_access_request,1,1,0,0,1,1,0,0.95,Chat
"Your FedEx parcel containing illegal items was seized by Mumbai Police. Pay Rs 15000 immediately to avoid arrest.",English,1,customs_parcel_scam,1,1,1,0,1,0,0,0.95,Call_Transcript
"Instant loan approved Rs 500000 at 0% interest. Pay registration fee Rs 1500 to loan@upi.",English,1,fake_loan_scam,0,0,1,0,0,0,0,0.75,SMS
"Your HDFC debit card is blocked. Download update at http://hdfc-netbank.xyz",English,1,suspicious_link,1,1,0,0,1,0,1,0.9,SMS
"TRAI Notice: Your mobile SIM card will be deactivated in 2 hours. Call 9876543210 for KYC update.",English,1,kyc_scam,1,1,0,0,1,0,0,0.85,SMS
"Earn Rs 3000 daily working from home by liking YouTube videos. Contact Telegram t.me/job_scam",English,1,fake_job_investment,0,0,1,0,0,0,1,0.7,Telegram
"Rs 500 debited from A/C XX1234 on 04-Sep-26 at SBI ATM. Available balance Rs 12500.",English,0,none,0,0,0,0,0,0,0,0.0,SMS
"Your OTP for SBI Netbanking transaction of Rs 1500 is 482910. Do not share OTP with anyone.",English,0,none,0,0,0,0,0,0,0,0.0,SMS
"Hi Mom, I reached the college library safely. Call you later.",English,0,none,0,0,0,0,0,0,0,0.0,WhatsApp
"Dear Customer, your monthly electricity bill for August is Rs 1240. Pay before 15-Sep on official app.",English,0,none,0,0,0,0,0,0,0,0.0,SMS
"Your Swiggy order #9821 is out for delivery with rider Ramesh.",English,0,none,0,0,0,0,0,0,0,0.0,App_Notification
"Dear user, your HDFC credit card statement is generated. Total due: Rs 4500.",English,0,none,0,0,0,0,0,0,0,0.0,SMS
"Reminder: Team sync meeting at 4 PM on Google Meet.",English,0,none,0,0,0,0,0,0,0,0.0,Email
"Aapka parcel dispatch ho gaya hai. Tracking link bit.ly/myorder123",Hinglish,0,none,0,0,0,0,0,0,0,0.1,SMS
"आपका खाता सुरक्षा कारणों से जांच के अधीन है। तुरंत संपर्क करें।",Hindi,1,authority_impersonation,1,1,0,0,1,0,0,0.85,SMS
"Congratulations! You got cashback of Rs 500. Click to claim on PhonePe.",English,1,fake_lottery_reward,0,0,1,0,0,0,0,0.75,App_Notification
"Send me 200 rupees via PhonePe, I will return tomorrow.",Hinglish,0,none,0,0,1,0,0,0,0,0.15,WhatsApp
"URGENT: Police verification pending for your PAN card. Pay fine Rs 2000 to avoid court summons.",English,1,threat,1,1,1,0,1,0,0,0.9,SMS
"Your Amazon order has been delivered. Rate your delivery experience.",English,0,none,0,0,0,0,0,0,0,0.0,App_Notification
"Install QuickSupport app to receive your refund of Rs 4000 from Paytm.",English,1,remote_access_request,0,1,1,0,0,1,0,0.9,SMS
"Account XX9876 credited with Rs 25000 salary from ACME Corp.",English,0,none,0,0,0,0,0,0,0,0.0,SMS
"Aapka OTP hai 9988. Kisi ke saath share mat karein.",Hinglish,0,none,0,0,0,0,0,0,0,0.0,SMS
"URGENT: Click http://free-recharge.top to get 1 Year Free Jio Mobile Recharge.",English,1,suspicious_link,1,0,0,0,0,0,1,0.75,WhatsApp
"Your Aadhaar card is linked to suspicious bank accounts. CBI inquiry ordered. Contact officer immediately.",English,1,authority_impersonation,1,1,0,0,1,0,0,0.95,SMS
"Payment request of Rs 2000 received from unknown_user@upi. Enter UPI PIN to receive money.",English,1,financial_request,0,0,1,1,0,0,0,0.85,UPI_App
"Hi bro, can you send the college assignment PDF?",English,0,none,0,0,0,0,0,0,0,0.0,WhatsApp
